strategy,month_number,actual_withdrawal_krw,tax_paid_krw,ending_balance_krw,us_core_value_krw,us_core_principal_krw,us_core_gain_krw,isa_principal_krw,isa_gain_krw,pension_principal_krw,pension_gain_krw,general_krw,us_excess_krw
과세이연,34,5000000.0,189116.886819744,322065707.47033215,27066612.972018596,20661157.02479338,6405455.947225217,100000000.0,31002406.784570068,54000000.0,10505152.034914732,99491535.67882879,0.0
과세이연,35,5000000.0,194130.05418753703,319439774.5948473,27282445.944792263,20661157.02479338,6621288.919998884,100000000.0,32047038.372794613,54000000.0,11019525.175628938,95090765.10163152,0.0
과세이연,36,5000000.0,199113.14301428298,316071111.7581783,25000000.0,18782870.02253943,6217129.977460571,100000000.0,33100000.000000104,72000000.0,11538000.000000045,71933111.75817813,2500000.000000011
과세이연,37,5000000.0,102033.1337145786,313469538.7040709,25199353.510722596,18782870.02253943,6416483.488183167,100000000.0,34161358.09108721,72000000.0,12204143.743149802,69904683.35911131,0.0
과세이연,38,5000000.0,208989.5420717855,310760199.28380907,25400296.694334686,18782870.02253943,6617426.671795256,100000000.0,35231179.60063797,72000000.0,12875599.410053283,65253123.578783125,0.0
과세이연,39,5000000.0,213883.08207588742,308024361.6705364,25602842.227111135,18782870.02253943,6819972.204571705,100000000.0,36309532.01713979,72000000.0,13552409.35873644,60559578.067549065,0.0
과세이연,40,5000000.0,218747.0030530926,305261844.18296766,25807002.886409182,18782870.02253943,7024132.863869753,100000000.0,37396483.367242604,72000000.0,14234616.28499405,55823741.64432178,0.0
과세이연,41,5000000.0,223581.42107690393,302472463.5749918,26012791.551474534,18782870.02253943,7229921.528935105,100000000.0,38492102.220050514,72000000.0,14922263.225083232,51045306.578383535,0.0
과세이연,42,5000000.0,228386.45266682352,299656035.0227485,26220221.204253793,18782870.02253943,7437351.181714363,100000000.0,39596457.69144732,72000000.0,15615393.558438182,46223962.568609186,0.0
과세이연,43,5000000.0,233162.21477263726,296812372.1116158,26429304.930213433,18782870.02253943,7646434.907674003,100000000.0,40709619.44845644,72000000.0,16314051.010406837,41359396.72253903,0.0
과세이연,44,5000000.0,237908.82475886052,293941286.82311094,26640055.919165276,18782870.02253943,7857185.896625847,100000000.0,41831657.71363604,72000000.0,17018279.655009195,36451293.53530044,0.0
